2026-07-01 09:35:13.122 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:35:13.122 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:35:23.151 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:35:23.151 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:35:33.176 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:35:33.176 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:35:43.217 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:35:43.217 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:35:53.243 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:35:53.243 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:36:03.279 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:36:03.279 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:36:13.300 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:36:13.300 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:36:23.329 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:36:23.329 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:36:33.343 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:36:33.343 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:36:43.363 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:36:43.363 [pool-1-thread-54] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:36:53.401 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:36:53.401 [pool-1-thread-60] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:37:03.429 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:37:03.429 [pool-1-thread-14] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:37:13.432 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:37:13.432 [pool-1-thread-24] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:37:23.448 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:37:23.449 [pool-1-thread-30] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:37:33.493 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:37:33.495 [pool-1-thread-36] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:37:43.513 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:37:43.513 [pool-1-thread-42] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
2026-07-01 09:37:53.539 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 09:37:53.539 [pool-1-thread-48] INFO  com.mp3.desktop.Programme3 - LIMITE DUREE - Chanson bloquee : 'IAO' (228 s > 180 s). Le fichier n'est pas envoye ni supprime.
