2026-06-22 16:19:20.764 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Rotoroto
2026-06-22 16:19:20.777 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Rotoroto
2026-06-22 16:19:20.795 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Chanson '?Rotoroto' ajoutee avec succes (ID=22.0)
2026-06-22 16:19:20.796 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-06-22 16:19:20.843 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-06-22 16:19:20.845 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Tongasoa
2026-06-22 16:19:20.850 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Tongasoa
2026-06-22 16:19:20.864 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Chanson '?Tongasoa' ajoutee avec succes (ID=23.0)
2026-06-22 16:19:20.865 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-06-22 16:19:20.897 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-06-22 16:21:45.759 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-06-22 16:22:03.969 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-22 16:22:03.982 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-22 16:24:34.354 [pool-1-thread-77] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Happier Than Ever
2026-06-22 16:24:34.787 [pool-1-thread-77] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Happier Than Ever
2026-06-22 16:24:34.915 [pool-1-thread-77] INFO  com.mp3.desktop.Programme3 - Chanson '?Happier Than Ever' ajoutee avec succes (ID=24.0)
2026-06-22 16:24:34.915 [pool-1-thread-77] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 16:24:34.940 [pool-1-thread-77] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 16:24:34.943 [pool-1-thread-83] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 16:24:34.952 [pool-1-thread-83] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 16:24:34.960 [pool-1-thread-83] INFO  com.mp3.desktop.Programme3 - Chanson '?HATRAIZA / AZA AVELA - REKO' ajoutee avec succes (ID=25.0)
2026-06-22 16:24:34.960 [pool-1-thread-83] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 16:24:35.012 [pool-1-thread-83] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 16:24:35.022 [pool-1-thread-84] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Louane - Maman (2015) Official Music Video
2026-06-22 16:24:35.037 [pool-1-thread-84] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Louane - Maman (2015) Official Music Video
